Void	0 0 0
Building	128 0 0
grass	0 128 0
Tree	128 128 0
cow	0 0 128
horse	128 0 128
sheep	0 128 128
Sky	128 128 128
mountain	64 0 0
aeroplane	192 0 0
water	64 128 0
face	192 128 0
Car	64 0 128
Archway	192 0 128
flower	64 128 128
SignSymbol	192 128 128
bird	0 64 0
book	128 64 0
chair	0 192 0
motorbike	128 192 0
person	0 64 128
Road	128 64 128
cat	0 192 128
dog	128 192 128
Pedestrian	64 64 0
boat	192 64 0
Wall	64 192 0
VegetationMisc	192 192 0
Fence	64 64 128
Train	192 64 128
ParkingBlock	64 192 128
Column_Pole	192 192 128
TrafficCone	0 0 64
unused	128 0 64
Bridge	0 128 64
Misc_Text	128 128 64
Sidewalk	0 0 192
LaneMkgsDriv	128 0 192
Bicyclist	0 128 192
RoadShoulder	128 128 192
Tunnel	64 0 64
LaneMkgsNonDriv	192 0 64
Animal	64 128 64
Child	192 128 64
CartLuggagePram	64 0 192
MotorcycleScooter	192 0 192
SUVPickupTruck	64 128 192
Truck_Bus	192 128 192
TrafficLight	0 64 64
OtherMoving	128 64 64
